Distance_to_soma,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595
00247_P003_T01-S007_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_15_17_15,10,10,10,13,15,19,22,23,22,24,28,26,29,28,29,28,28,28,28,27,25,21,21,18,16,15,13,10,10,9,9,9,8,7,7,7,4,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00248_P003_T01-S007_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_15_17_15,7,7,7,9,12,15,16,20,23,24,24,26,27,26,24,22,20,18,19,19,18,18,16,16,16,16,13,13,10,8,7,4,5,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00250_P003_T01-S007_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_15_17_17,11,11,11,11,11,13,19,23,22,25,28,29,27,28,26,26,25,24,23,20,17,17,15,15,15,15,14,12,10,9,9,7,8,6,6,4,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00252_P003_T01-S007_S(M)TG_R0460_WY-20220513_XJ_stamp_2022_08_24_09_40,8,8,8,10,13,19,23,20,19,21,21,20,18,17,16,15,14,14,14,15,12,9,6,5,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00302_P005_T01-S001_MFG_R0509_GYC-20220525_GYC_stamp_2022_07_21_17_07,11,11,11,12,12,14,22,24,23,26,27,31,33,35,43,33,33,32,29,31,25,23,22,19,16,13,12,11,9,7,6,5,4,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00309_P005_T01-S001_MFG_R0509_GYC-20220525_GYC_stamp_2022_07_25_15_12,12,12,12,12,12,15,18,18,21,22,25,26,25,24,24,28,29,30,30,31,30,28,29,28,24,21,19,15,12,10,8,7,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00310_P005_T01-S001_MFG_R0509_GYC-20220525_GYC_stamp_2022_07_25_15_13,10,10,10,12,13,13,18,22,21,21,23,25,27,33,30,30,30,29,31,29,28,29,27,27,24,23,20,14,12,8,6,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00311_P005_T01-S001_MFG_R0509_GYC-20220525_GYC_stamp_2022_07_25_15_15,10,10,10,10,10,12,13,16,15,20,23,24,25,26,25,25,29,30,28,27,25,25,23,21,19,16,13,12,11,9,7,5,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00312_P005_T01-S001_MFG_R0678_GYC-20220525_GYC_stamp_2022_07_25_15_16,8,8,8,8,11,15,17,21,22,28,32,31,33,31,32,34,34,35,33,31,34,30,30,27,26,24,23,23,22,20,19,18,16,17,13,7,7,6,4,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00313_P005_T01-S001_MFG_R0509_GYC-20220525_GYC_stamp_2022_07_25_15_17,9,9,9,9,10,16,15,21,30,35,36,36,37,38,36,38,41,38,37,34,32,30,32,33,32,29,24,18,12,9,8,7,6,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00314_P005_T01-S001_MFG_R0678_GYC-20220525_GYC_stamp_2022_07_25_17_11,8,8,8,8,11,12,13,17,21,22,25,24,22,22,24,28,31,32,32,31,31,28,26,23,21,18,18,17,16,14,12,10,10,9,7,7,5,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
