Name,Stems,Branches,Length,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
00142_P003_T01-S001_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_11_17_14.ano.eswc,7,159,4709.35,75.1458,60.3273,1.08765
00144_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_08_16_09_41.ano.eswc,8,58,2020.56,86.9344,63.8112,1.04672
00150_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_11_17_15.ano.eswc,9,125,4569.2,69.3851,56.1059,1.09272
00152_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_11_17_16.ano.eswc,7,121,3772.11,74.3609,63.8308,1.09206
00153_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_08_22_10_39.ano.eswc,7,75,1906.28,84.8156,64.4111,1.09501
00154_P003_T01-S001_S(M)TG_R0460_WY-20220513_YXQ_stamp_2022_07_11_17_17.ano.eswc,8,61,1609.92,76.7173,64.4355,1.05454
00156_P003_T01-S005_S(M)TG_R0613_WY-20220513_GYC_stamp_2022_08_30_09_25.ano.eswc,9,61,2215.84,82.4019,64.9163,1.06212
00157_P003_T01-S005_S(M)TG_R0613_WY-20220513_GYC_stamp_2022_08_11_14_31.ano.eswc,8,84,3327.59,77.0336,59.6505,1.08043
00163_P003_T01-S005_S(M)TG_R0613_WY-20220513_GYC_stamp_2022_07_11_17_18.ano.eswc,7,175,6949.34,76.4466,55.7826,1.08333
00165_P003_T01-S005_S(M)TG_R0613_WY-20220513_GYC_stamp_2022_07_11_17_19.ano.eswc,6,124,5043.48,70.7894,58.8193,1.09392
00166_P003_T01-S005_S(M)TG_R0460_WY-20220513_GYC_stamp_2022_07_11_17_20.ano.eswc,9,123,3540.99,71.5095,52.7269,1.13242
00168_P003_T01-S005_S(M)TG_R0613_WY-20220513_GYC_stamp_2022_07_11_17_21.ano.eswc,7,140,4691.82,74.0788,55.524,1.09019
00177_P003_T01-S003_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_12_17_07.ano.eswc,11,97,3529.58,66.2171,57.6054,1.07823
00178_P003_T01-S003_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_12_17_08.ano.eswc,6,42,2017.29,48.1147,55.637,1.06018
00179_P003_T01-S003_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_05_17_22.ano.eswc,7,95,4478.23,61.9192,54.082,1.07547
00181_P003_T01-S003_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_12_17_09.ano.eswc,8,88,3309.54,65.7284,54.2108,1.0848
00182_P003_T01-S003_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_08_23_10_49.ano.eswc,6,78,2560.59,82.7424,66.9426,1.08748
00183_P003_T01-S003_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_08_11_15_25.ano.eswc,7,79,3209.2,73.4412,61.2713,1.06627
00184_P003_T01-S003_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_08_11_15_26.ano.eswc,11,109,4036.58,84.2747,61.1916,1.09429
00187_P003_T01-S003_S(M)TG_R0460_WY-20220513_LJ_stamp_2022_08_23_10_49.ano.eswc,5,81,2236.94,81.7699,67.1561,1.0531
00189_P003_T01-S003_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_12_17_10.ano.eswc,7,77,3084.99,83.2045,59.0406,1.07128
00190_P003_T01-S003_S(M)TG_R0460_WY-20220513_XJ_stamp_2022_08_31_14_21.ano.eswc,9,65,2071.37,78.948,65.1561,1.043
00191_P003_T01-S003_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_12_17_19.ano.eswc,6,82,3151.48,71.8045,55.492,1.08068
00193_P003_T01-S003_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_08_23_10_50.ano.eswc,8,78,3251.28,69.5076,58.6723,1.09251
00198_P003_T01-S003_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_12_17_19.ano.eswc,9,125,4321.45,64.0357,56.5826,1.0966
00202_P003_T01-S004_S(M)TG_R0460_WY-20220513_LJ_stamp_2022_08_30_10_29.ano.eswc,6,56,1912.64,77.1944,64.3377,1.02978
00204_P003_T01-S004_S(M)TG_R0460_WY-20220513_LJ_stamp_2022_08_23_15_58.ano.eswc,7,91,3423.3,68.6184,55.6806,1.1336
00205_P003_T01-S004_S(M)TG_R0460_WY-20220513_LJ_stamp_2022_08_23_15_59.ano.eswc,8,106,3004.16,80.3803,66.7363,1.05677
00206_P003_T01-S004_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_13_17_16.ano.eswc,8,104,4117.22,75.9538,59.3341,1.12352
