Name,BrainRgn,Age,Sex,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
00111_P003_T01-S002_S(M)TG_R0460_WY-20220513_stamp_2022_08_12_15_01.ano.eswc,IPL,49,F,1438,12.5664,9,30,67,38,145.82,201.02,134,1.99861,2070.51,13009.4,6504.69,127.069,143.556,6,0.899175,20.4478,1,76.7685,60.462,1.03673
00114_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_07_17_15.ano.eswc,IPL,49,F,1974,3216.99,9,52,111,60,299.757,234.779,136,2.21812,3688.26,30263.7,42049.9,183.702,211.844,10,0.921657,16.7748,0.929065,73.6689,65.7952,1.10295
00117_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_07_17_16.ano.eswc,IPL,49,F,1926,1520.53,7,40,85,46,307.113,186.965,166.889,2.06634,3418.29,23373.6,18866.3,189.428,221.323,10,0.910682,21.6471,0.947104,69.8897,53.133,1.08661
00118_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_07_17_17.ano.eswc,IPL,49,F,2029,2123.72,9,43,94,52,299.144,268.704,161,2.16205,4058.93,30047.7,28546.5,179.63,229.531,6,0.921477,20.5745,0.946985,68.2052,60.568,1.0965
00119_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_07_17_18.ano.eswc,IPL,49,F,1801,7853.98,6,60,125,66,284.432,251.943,128,2.38765,3138.44,30413.3,88894.9,168.429,205.146,10,0.926193,13.4,0.935108,72.9707,57.1607,1.08474
00120_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_07_17_18.ano.eswc,IPL,49,F,2494,2463.01,8,59,125,67,291.175,296.079,131,2.23287,4310.78,36488.1,77072.8,236.45,268.381,9,0.910458,18.944,0.959553,81.4195,56.7122,1.07706
00121_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_07_17_19.ano.eswc,IPL,49,F,2244,2827.43,6,58,121,64,310.791,296.079,123,2.11586,3831.81,28562.3,36694.6,186.564,267.928,13,0.918658,17.5372,0.944676,79.7242,61.1534,1.09893
00122_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_08_17_09.ano.eswc,IPL,49,F,4284,2827.43,7,95,195,101,310.178,312.971,153,2.0775,7038.6,48982.3,42496.5,207.776,256.71,11,0.919135,20.9641,0.997236,74.6056,59.471,1.09972
00123_P003_T01-S001_S(M)TG_R0460_WY-20220513_YXQ_stamp_2022_07_08_17_10.ano.eswc,IPL,49,F,1689,2827.43,7,39,83,45,205.62,208.84,112,2.19664,2462.21,19398.6,29744.4,134.471,175.482,8,0.902662,19.3373,0.962932,65.8607,64.8153,1.09257
00124_P003_T01-S001_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_08_17_11.ano.eswc,IPL,49,F,2584,3216.99,7,55,115,61,312.63,293.014,133,2.09445,4490.27,32346.6,30755.4,197.12,225.12,10,0.923165,21.4609,0.970685,69.0125,56.4038,1.07259
00125_P003_T01-S001_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_08_17_11.ano.eswc,IPL,49,F,1493,2827.43,6,30,64,35,302.209,249.491,136,2.17579,2689.24,20586.8,25407.3,199.071,233.032,11,0.918742,22.3125,0.865691,65.6129,60.6759,1.05958
00126_P003_T01-S001_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_08_17_13.ano.eswc,IPL,49,F,1751,2814.63,3,36,76,41,265.429,231.714,128,2.08754,2950.44,20475.8,15594,189.242,206.222,8,0.908487,22.0263,0.837943,74.9606,70.9254,1.06427
