Distance_to_soma,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595
00241_P003_T01-S004_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_08_31_14_54,6,6,7,9,9,9,13,16,20,26,26,25,28,34,37,37,37,36,36,34,39,35,35,35,36,31,30,27,26,25,21,17,11,8,7,6,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00490_P005_T01-S006_MFG_R0678_LJ-20220525_LJ_stamp_2022_08_02_17_05,9,9,9,9,10,13,13,13,14,16,23,24,25,29,31,31,31,31,36,28,26,25,24,20,19,20,20,20,19,18,14,13,11,9,7,7,6,5,4,3,3,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00770_P005_T01-S014_MFG_R0678_LJ-20220525_LJ_stamp_2022_08_12_16_00,8,8,8,8,9,10,12,12,16,20,25,28,33,33,34,35,37,30,26,28,25,22,17,16,14,10,9,8,7,7,7,7,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00845_P010_T01-S013_TP_R0509_LJ-20220607_LJ_stamp_2022_08_26_12_40,8,8,8,8,10,12,16,15,16,14,18,19,22,20,22,19,19,17,17,18,18,17,17,16,17,14,10,9,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00867_P010_T01-S010_TP_R0509_LJ-20220607_LJ_stamp_2022_07_28_16_58,7,7,7,7,7,10,13,14,19,22,23,22,24,23,22,24,21,17,13,9,7,7,5,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00869_P010_T01-S010_TP_R0509_LJ-20220607_LJ_stamp_2022_07_25_17_22,9,9,9,10,15,16,16,21,26,26,25,30,28,29,29,24,21,17,14,10,7,8,6,4,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00873_P010_T01-S012_TP_R0509_LJ-20220607_LJ_stamp_2022_07_28_16_38,15,15,15,15,16,17,19,20,19,22,21,22,21,20,20,19,18,16,14,14,14,15,10,8,6,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00883_P010_T01-S012_TP_R0678_LJ-20220607_XJ_stamp_2022_08_11_16_35,6,6,6,6,12,14,15,19,27,32,27,28,29,32,36,39,40,39,38,38,39,37,36,35,29,27,25,21,20,18,14,14,14,12,12,11,9,8,8,7,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00885_P010_T01-S012_TP_R0509_LJ-20220607_XJ_stamp_2022_08_11_16_35,7,7,7,7,8,13,15,21,28,34,36,37,35,29,30,28,25,22,20,16,13,14,11,10,7,6,5,3,3,3,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00887_P010_T01-S012_TP_R0678_LJ-20220607_XJ_stamp_2022_08_31_14_18,15,15,15,16,18,25,28,29,31,36,39,42,44,42,43,45,47,49,53,51,51,49,50,52,52,53,53,51,49,49,48,45,46,42,36,34,24,20,16,12,11,7,4,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
